{ 2,0,0,2,0,0,2} in_90 test 20% win=100 
[data I : 55383 answer: 12.0,forecast :12.596907832453539 (rmse:0.6, mape: 0.07, smape: 0.07) ] 
[data I : 55384 answer: 12.0,forecast :8.621795431392298 (rmse:3.38, mape: 0.29, smape: 0.33) ] 
[data I : 55385 answer: 16.0,forecast :14.817782111602146 (rmse:1.18, mape: 0.09, smape: 0.1) ] 
[data I : 55386 answer: 12.0,forecast :10.908948789256787 (rmse:1.09, mape: 0.1, smape: 0.1) ] 
[data I : 55387 answer: 25.0,forecast :16.617161470869092 (rmse:8.38, mape: 0.34, smape: 0.41) ] 
[data I : 55388 answer: 12.0,forecast :13.98142786616288 (rmse:1.98, mape: 0.19, smape: 0.18) ] 
[data I : 55389 answer: 12.0,forecast :12.96880660662207 (rmse:0.97, mape: 0.1, smape: 0.09) ] 
[data I : 55390 answer: 8.0,forecast :12.00378977314733 (rmse:4, mape: 0.51, smape: 0.41) ] 
[data I : 55391 answer: 25.0,forecast :15.215173654660479 (rmse:9.78, mape: 0.41, smape: 0.51) ] 
[data I : 55392 answer: 12.0,forecast :9.974756082447163 (rmse:2.03, mape: 0.2, smape: 0.22) ] 
[data I : 55393 answer: 16.0,forecast :21.367594770356995 (rmse:5.37, mape: 0.35, smape: 0.3) ] 
[data I : 55394 answer: 16.0,forecast :11.127996222400927 (rmse:4.87, mape: 0.33, smape: 0.38) ] 
[data I : 55395 answer: 12.0,forecast :13.859158426579588 (rmse:1.86, mape: 0.18, smape: 0.17) ] 
[data I : 55396 answer: 8.0,forecast :8.223911459262833 (rmse:0.22, mape: 0.05, smape: 0.05) ] 
[data I : 55397 answer: 16.0,forecast :21.67284306092756 (rmse:5.67, mape: 0.36, smape: 0.3) ] 
[data I : 55398 answer: 8.0,forecast :12.296543721767554 (rmse:4.3, mape: 0.58, smape: 0.46) ] 
[data I : 55399 answer: 16.0,forecast :14.814439664525482 (rmse:1.19, mape: 0.11, smape: 0.11) ] 
[data I : 55400 answer: 12.0,forecast :14.419562241489055 (rmse:2.42, mape: 0.21, smape: 0.19) ] 
[data I : 55401 answer: 12.0,forecast :13.487320131972702 (rmse:1.49, mape: 0.14, smape: 0.13) ] 
[data I : 55402 answer: 12.0,forecast :9.403898736283336 (rmse:2.6, mape: 0.23, smape: 0.26) ] 
[data I : 55403 answer: 16.0,forecast :15.704405907298598 (rmse:0.3, mape: 0.03, smape: 0.03) ] 
[data I : 55404 answer: 8.0,forecast :9.475184891026274 (rmse:1.48, mape: 0.19, smape: 0.17) ] 
[data I : 55405 answer: 20.0,forecast :15.159410900082069 (rmse:4.84, mape: 0.25, smape: 0.29) ] 
[data I : 55406 answer: 16.0,forecast :11.687114287601545 (rmse:4.31, mape: 0.29, smape: 0.33) ] 
[data I : 55407 answer: 12.0,forecast :12.31139359451479 (rmse:0.31, mape: 0.05, smape: 0.05) ] 
[data I : 55408 answer: 12.0,forecast :11.515516605386225 (rmse:0.48, mape: 0.04, smape: 0.05) ] 
